time,data
2017-05-25 15:11:07,5.0195
2017-05-25 15:11:08,5.01945
2017-05-25 15:11:09,5.0194
2017-05-25 15:11:10,5.0192
2017-05-25 15:11:11,5.01925
2017-05-25 15:11:12,5.01935
2017-05-25 15:11:13,5.0194
2017-05-25 15:11:14,5.0193
2017-05-25 15:11:15,5.0194
2017-05-25 15:11:16,5.0196
2017-05-25 15:11:17,5.0195
2017-05-25 15:11:18,5.01965
2017-05-25 15:11:19,5.0196
2017-05-25 15:11:20,5.01955
2017-05-25 15:11:21,5.0195
2017-05-25 15:11:22,5.0195
2017-05-25 15:11:23,5.0196
2017-05-25 15:11:25,5.01955
2017-05-25 15:11:26,5.0194
2017-05-25 15:11:27,5.0194
2017-05-25 15:11:28,5.01945
2017-05-25 15:11:29,5.0194
2017-05-25 15:11:30,5.0195
2017-05-25 15:11:31,5.0196
2017-05-25 15:11:32,5.0197
2017-05-25 15:11:37,5.01975
2017-05-25 15:11:38,5.0197
2017-05-25 15:11:44,5.01965
2017-05-25 15:11:45,5.0197
2017-05-25 15:11:46,5.01955
2017-05-25 15:11:47,5.01965
2017-05-25 15:11:49,5.0197
2017-05-25 15:11:50,5.01975
2017-05-25 15:11:53,5.0198
2017-05-25 15:11:55,5.01985
2017-05-25 15:11:59,5.0198
2017-05-25 15:12:02,5.0197
2017-05-25 15:12:03,5.01995
2017-05-25 15:12:04,5.02
2017-05-25 15:12:09,5.01995
2017-05-25 15:12:10,5.0197
2017-05-25 15:12:11,5.0198
2017-05-25 15:12:13,5.0197
2017-05-25 15:12:14,5.0197
2017-05-25 15:12:15,5.01965
2017-05-25 15:12:16,5.0195
2017-05-25 15:12:17,5.01945
2017-05-25 15:12:18,5.0195
2017-05-25 15:12:19,5.01945
2017-05-25 15:12:20,5.0195
2017-05-25 15:12:21,5.0194
2017-05-25 15:12:28,5.01935
2017-05-25 15:12:29,5.0194
2017-05-25 15:12:30,5.01935
2017-05-25 15:12:31,5.01915
2017-05-25 15:12:32,5.0192
2017-05-25 15:12:33,5.01915
2017-05-25 15:12:34,5.0191
2017-05-25 15:12:37,5.0192
2017-05-25 15:12:38,5.0193
2017-05-25 15:12:39,5.0192
2017-05-25 15:12:41,5.0194
2017-05-25 15:12:42,5.0195
2017-05-25 15:12:43,5.0194
2017-05-25 15:12:44,5.01915
2017-05-25 15:12:45,5.0194
2017-05-25 15:12:49,5.0195
2017-05-25 15:12:50,5.01945
2017-05-25 15:12:51,5.0195
2017-05-25 15:12:52,5.0197
2017-05-25 15:12:53,5.0196
2017-05-25 15:12:54,5.01975
2017-05-25 15:12:56,5.0197
2017-05-25 15:12:57,5.0196
2017-05-25 15:12:58,5.01955
2017-05-25 15:13:00,5.0195
2017-05-25 15:13:01,5.0197
2017-05-25 15:13:02,5.0195
2017-05-25 15:13:04,5.01945
2017-05-25 15:13:05,5.0195
2017-05-25 15:13:06,5.0192
2017-05-25 15:13:07,5.01885
2017-05-25 15:13:08,5.0189
2017-05-25 15:13:09,5.01885
2017-05-25 15:13:10,5.0189
2017-05-25 15:13:11,5.01925
2017-05-25 15:13:12,5.0192
2017-05-25 15:13:13,5.01915
2017-05-25 15:13:14,5.01915
2017-05-25 15:13:15,5.0191
2017-05-25 15:13:16,5.01925
2017-05-25 15:13:17,5.01935
2017-05-25 15:13:19,5.01945
2017-05-25 15:13:20,5.01925
2017-05-25 15:13:21,5.0192
2017-05-25 15:13:22,5.01915
2017-05-25 15:13:25,5.0192
2017-05-25 15:13:26,5.0193
2017-05-25 15:13:28,5.01925
2017-05-25 15:13:29,5.0192
2017-05-25 15:13:31,5.01925
2017-05-25 15:13:32,5.0195
2017-05-25 15:13:33,5.01945
2017-05-25 15:13:34,5.0194
2017-05-25 15:13:35,5.0192
2017-05-25 15:13:36,5.0192
2017-05-25 15:13:37,5.01925
2017-05-25 15:13:38,5.0193
2017-05-25 15:13:39,5.01925
2017-05-25 15:13:41,5.0193
2017-05-25 15:13:42,5.01935
2017-05-25 15:13:43,5.0194
2017-05-25 15:13:59,5.01935
2017-05-25 15:14:01,5.0194
2017-05-25 15:14:06,5.0195
2017-05-25 15:14:07,5.0194
2017-05-25 15:14:08,5.0195
2017-05-25 15:14:10,5.01955
2017-05-25 15:14:11,5.0198
2017-05-25 15:14:12,5.0195
2017-05-25 15:14:15,5.0196
2017-05-25 15:14:16,5.0198
2017-05-25 15:14:17,5.01975
2017-05-25 15:14:18,5.0197
2017-05-25 15:14:19,5.0198
2017-05-25 15:14:20,5.0199
2017-05-25 15:14:21,5.01985
2017-05-25 15:14:22,5.02
2017-05-25 15:14:23,5.0201
2017-05-25 15:14:26,5.02
2017-05-25 15:14:27,5.0201
2017-05-25 15:14:28,5.02005
2017-05-25 15:14:29,5.0201
2017-05-25 15:14:30,5.0201
2017-05-25 15:14:31,5.0197
2017-05-25 15:14:32,5.0198
2017-05-25 15:14:33,5.02
2017-05-25 15:14:34,5.0199
2017-05-25 15:14:35,5.02
